Fecha,Producto,Categoría,Precio_Unitario,Costo_Unitario,Unidades_Vendidas,Ciudad
2025-04-15,Cartucho filtrante,Repuestos,60,30,35,Mendoza
2025-03-02,Kit de mangueras,Accesorios,25,10,45,Córdoba
2025-04-25,Filtro de agua,Equipos,120,80,21,Tandil
2025-06-17,Motor eléctrico,Equipos,300,200,15,Plaza Huincul
2025-06-09,Purificador portátil,Equipos,150,100,18,Tandil
2025-04-23,Repuesto bomba,Repuestos,40,20,44,Salta
2025-04-15,Repuesto bomba,Repuestos,40,20,26,Tandil
2025-05-28,Purificador portátil,Equipos,150,100,12,Mendoza
2025-05-01,Grifo cromado,Accesorios,35,15,18,Tandil
2025-01-19,Cartucho filtrante,Repuestos,60,30,43,Mendoza
2025-04-16,Filtro de agua,Equipos,120,80,50,Córdoba
2025-05-01,Filtro de agua,Equipos,120,80,16,Córdoba
2025-06-02,Repuesto bomba,Repuestos,40,20,9,Mendoza
2025-01-13,Manguera reforzada,Accesorios,50,25,11,Salta
2025-01-26,Repuesto bomba,Repuestos,40,20,28,Tandil
2025-02-22,Filtro de agua,Equipos,120,80,13,Plaza Huincul
2025-03-25,Filtro de agua,Equipos,120,80,35,Salta
2025-05-23,Repuesto bomba,Repuestos,40,20,50,Mendoza
2025-03-08,Cartucho filtrante,Repuestos,60,30,27,Córdoba
2025-05-16,Motor eléctrico,Equipos,300,200,16,Córdoba
2025-01-15,Kit de mangueras,Accesorios,25,10,11,Mendoza
2025-06-06,Kit de mangueras,Accesorios,25,10,35,Salta
2025-01-18,Cartucho filtrante,Repuestos,60,30,48,Salta
2025-01-08,Tanque de reserva,Equipos,200,120,5,Mendoza
2025-03-12,Tanque de reserva,Equipos,200,120,24,Mendoza
2025-04-19,Grifo cromado,Accesorios,35,15,5,Salta
2025-06-23,Purificador portátil,Equipos,150,100,13,Mendoza
2025-02-08,Tanque de reserva,Equipos,200,120,8,Tandil
2025-04-29,Purificador portátil,Equipos,150,100,17,Salta
2025-04-02,Válvula de presión,Repuestos,75,40,23,Tandil
2025-04-20,Grifo cromado,Accesorios,35,15,47,Tandil
2025-03-01,Kit de mangueras,Accesorios,25,10,41,Mendoza
2025-06-24,Manguera reforzada,Accesorios,50,25,32,Plaza Huincul
2025-03-31,Grifo cromado,Accesorios,35,15,24,Plaza Huincul
2025-03-28,Grifo cromado,Accesorios,35,15,1,Mendoza
2025-01-21,Kit de mangueras,Accesorios,25,10,12,Salta
2025-02-24,Válvula de presión,Repuestos,75,40,29,Córdoba
2025-02-04,Grifo cromado,Accesorios,35,15,44,Tandil
2025-02-26,Cartucho filtrante,Repuestos,60,30,38,Salta
2025-02-28,Filtro de agua,Equipos,120,80,28,Córdoba
2025-05-25,Tanque de reserva,Equipos,200,120,1,Tandil
2025-04-13,Purificador portátil,Equipos,150,100,16,Córdoba
2025-05-22,Motor eléctrico,Equipos,300,200,45,Mendoza
2025-01-25,Grifo cromado,Accesorios,35,15,36,Salta
2025-04-02,Repuesto bomba,Repuestos,40,20,35,Tandil
2025-03-08,Tanque de reserva,Equipos,200,120,19,Mendoza
2025-01-29,Filtro de agua,Equipos,120,80,32,Tandil
2025-04-17,Manguera reforzada,Accesorios,50,25,30,Mendoza
2025-06-19,Kit de mangueras,Accesorios,25,10,22,Córdoba
2025-02-14,Repuesto bomba,Repuestos,40,20,9,Tandil
2025-06-27,Purificador portátil,Equipos,150,100,6,Tandil
2025-05-22,Cartucho filtrante,Repuestos,60,30,5,Salta
2025-05-16,Cartucho filtrante,Repuestos,60,30,28,Tandil
2025-02-08,Kit de mangueras,Accesorios,25,10,47,Plaza Huincul
2025-05-27,Válvula de presión,Repuestos,75,40,2,Plaza Huincul
2025-06-03,Filtro de agua,Equipos,120,80,18,Tandil
2025-06-26,Cartucho filtrante,Repuestos,60,30,18,Tandil
2025-02-24,Cartucho filtrante,Repuestos,60,30,19,Mendoza
2025-04-24,Kit de mangueras,Accesorios,25,10,44,Tandil
2025-03-22,Válvula de presión,Repuestos,75,40,8,Tandil
2025-04-21,Cartucho filtrante,Repuestos,60,30,17,Córdoba
2025-06-08,Motor eléctrico,Equipos,300,200,24,Salta
2025-03-28,Grifo cromado,Accesorios,35,15,10,Salta
